keyword,language,region,search_volume_est,competition,intent,category
"colonoscopy Pilipinas",tl,Philippines,40,low,diagnosis,local

"大腸がん検診",ja,Japan,1200,medium,diagnosis,primary
"大腸内視鏡検査",ja,Japan,1000,high,diagnosis,local
"便潜血検査",ja,Japan,800,medium,non-invasive,primary
"大腸がん早期発見",ja,Japan,600,medium,early detection,primary
"血液検査大腸がん",ja,Japan,400,low,non-invasive,primary
"大腸がん予防",ja,Japan,350,medium,early detection,primary
"非侵襲的大腸がん検査",ja,Japan,200,low,non-invasive,primary
"大腸がん死亡率削減",ja,Japan,150,low,mortality,research

"Shield blood test",en,Singapore,200,low,non-invasive,product
"Guardant Health Shield",en,Singapore,150,low,non-invasive,product
"liquid biopsy colorectal cancer",en,Singapore,120,low,non-invasive,technology
"ctDNA test colon cancer",en,Singapore,100,low,non-invasive,technology
"non invasive CRC screening",en,Singapore,180,low,non-invasive,primary
"blood based colon cancer test",en,Singapore,160,low,non-invasive,primary
"circulating tumor DNA test",en,Singapore,80,low,non-invasive,technology

"early onset colorectal cancer",en,Singapore,250,medium,early detection,concern
"young adult colon cancer",en,Singapore,200,medium,early detection,concern
"colorectal cancer under 50",en,Singapore,180,medium,early detection,concern
"family history colon cancer screening",en,Singapore,150,medium,diagnosis,risk
"genetic testing colon cancer",en,Singapore,120,medium,diagnosis,risk
"Lynch syndrome screening",en,Singapore,80,low,diagnosis,genetic

"reduce colorectal cancer mortality",en,Singapore,100,low,mortality,outcome
"CRC screening effectiveness",en,Singapore,90,low,mortality,research
"colon cancer survival rates",en,Singapore,80,medium,mortality,outcome
"early detection saves lives",en,Singapore,70,low,mortality,benefit
"colorectal cancer death prevention",en,Singapore,60,low,mortality,benefit

"healthcare screening program",en,Singapore,300,medium,diagnosis,system
"population based screening",en,Singapore,150,low,diagnosis,system
"national screening guidelines",en,Singapore,120,low,diagnosis,government
"screening compliance rates",en,Singapore,80,low,diagnosis,metrics
"healthcare policy colorectal",en,Singapore,60,low,diagnosis,policy
